Valor,País,Nombre del Estado
AGU,MEX ,Aguascalientes 
BCN,MEX ,Baja California
BCS,MEX ,Baja California Sur
CAM,MEX ,Campeche
CHP,MEX ,Chiapas
CHH,MEX ,Chihuahua
COA,MEX ,Coahuila
COL,MEX ,Colima
DIF,MEX ,Ciudad de México
DUR,MEX ,Durango
GUA,MEX ,Guanajuato
GRO,MEX ,Guerrero
HID,MEX ,Hidalgo
JAL,MEX ,Jalisco
MEX,MEX ,Estado de México
MIC,MEX ,Michoacán
MOR,MEX ,Morelos
NAY,MEX ,Nayarit
NLE,MEX ,Nuevo León
OAX,MEX ,Oaxaca
PUE,MEX ,Puebla
QUE,MEX ,Querétaro
ROO,MEX ,Quintana Roo
SLP,MEX ,San Luis Potosí
SIN,MEX ,Sinaloa
SON,MEX ,Sonora
TAB,MEX ,Tabasco
TAM,MEX ,Tamaulipas
TLA,MEX ,Tlaxcala
VER,MEX ,Veracruz
YUC,MEX ,Yucatán
ZAC,MEX ,Zacatecas
