Valor,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia
001,Seguridad social,2016-11-01,
002,ISR,2016-11-01,
003,"Aportaciones a retiro, cesantía en edad avanzada y vejez",2016-11-01,
004,Otros,2016-11-01,
005,Aportaciones a Fondo de vivienda,2016-11-01,
006,Descuento por incapacidad,2016-11-01,
007,Pensión alimenticia,2016-11-01,
008,Renta,2016-11-01,
009,Préstamos provenientes del Fondo Nacional de la Vivienda para los Trabajadores,2016-11-01,
010,Pago por crédito de vivienda,2016-11-01,
011,Pago de abonos INFONACOT,2016-11-01,
012,Anticipo de salarios,2016-11-01,
013,Pagos hechos con exceso al trabajador,2016-11-01,
014,Errores,2016-11-01,
015,Pérdidas,2016-11-01,
016,Averías,2016-11-01,
017,Adquisición de artículos producidos por la empresa o establecimiento,2016-11-01,
018,Cuotas para la constitución y fomento de sociedades cooperativas y de cajas de ahorro,2016-11-01,
019,Cuotas sindicales,2016-11-01,
020,Ausencia (Ausentismo),2016-11-01,
021,Cuotas obrero patronales,2016-11-01,
022,Impuestos Locales,2016-11-01,
023,Aportaciones voluntarias,2016-11-01,
024,Ajuste en Gratificación Anual (Aguinaldo) Exento,2017-01-06,
025,Ajuste en Gratificación Anual (Aguinaldo) Gravado,2017-01-06,
026,Ajuste en Participación de los Trabajadores en las Utilidades PTU Exento,2017-01-06,
027,Ajuste en Participación de los Trabajadores en las Utilidades PTU Gravado,2017-01-06,
028,Ajuste en Reembolso de Gastos Médicos Dentales y Hospitalarios Exento,2017-01-06,
029,Ajuste en Fondo de ahorro Exento,2017-01-06,
030,Ajuste en Caja de ahorro Exento,2017-01-06,
031,Ajuste en Contribuciones a Cargo del Trabajador Pagadas por el Patrón Exento,2017-01-06,
032,Ajuste en Premios por puntualidad Gravado,2017-01-06,
033,Ajuste en Prima de Seguro de vida Exento,2017-01-06,
034,Ajuste en Seguro de Gastos Médicos Mayores Exento,2017-01-06,
035,Ajuste en Cuotas Sindicales Pagadas por el Patrón Exento,2017-01-06,
036,Ajuste en Subsidios por incapacidad Exento,2017-01-06,
037,Ajuste en Becas para trabajadores y/o hijos Exento,2017-01-06,
038,Ajuste en Horas extra Exento,2017-01-06,
039,Ajuste en Horas extra Gravado,2017-01-06,
040,Ajuste en Prima dominical Exento,2017-01-06,
041,Ajuste en Prima dominical Gravado,2017-01-06,
042,Ajuste en Prima vacacional Exento,2017-01-06,
043,Ajuste en Prima vacacional Gravado,2017-01-06,
044,Ajuste en Prima por antigüedad Exento,2017-01-06,
045,Ajuste en Prima por antigüedad Gravado,2017-01-06,
046,Ajuste en Pagos por separación Exento,2017-01-06,
047,Ajuste en Pagos por separación Gravado,2017-01-06,
048,Ajuste en Seguro de retiro Exento,2017-01-06,
049,Ajuste en Indemnizaciones Exento,2017-01-06,
050,Ajuste en Indemnizaciones Gravado,2017-01-06,
051,Ajuste en Reembolso por funeral Exento,2017-01-06,
052,Ajuste en Cuotas de seguridad social pagadas por el patrón Exento,2017-01-06,
053,Ajuste en Comisiones Gravado,2017-01-06,
054,Ajuste en Vales de despensa Exento,2017-01-06,
055,Ajuste en Vales de restaurante Exento,2017-01-06,
056,Ajuste en Vales de gasolina Exento,2017-01-06,
