Valor,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia
001,"Sueldos, Salarios, Rayas y Jornales",2016-11-01,
002,Gratificación Anual (Aguinaldo),2016-11-01,
003,Participación de los Trabajadores en las Utilidades PTU,2016-11-01,
004,Reembolso de Gastos Médicos Dentales y Hospitalarios,2016-11-01,
005,Fondo de Ahorro,2016-11-01,
006,Caja de ahorro,2016-11-01,
009,Contribuciones a Cargo del Trabajador Pagadas por el Patrón,2016-11-01,
010,Premios por puntualidad,2016-11-01,
011,Prima de Seguro de vida,2016-11-01,
012,Seguro de Gastos Médicos Mayores,2016-11-01,
013,Cuotas Sindicales Pagadas por el Patrón,2016-11-01,
014,Subsidios por incapacidad,2016-11-01,
015,Becas para trabajadores y/o hijos,2016-11-01,
019,Horas extra,2016-11-01,
020,Prima dominical,2016-11-01,
021,Prima vacacional,2016-11-01,
022,Prima por antigüedad,2016-11-01,
023,Pagos por separación,2016-11-01,
024,Seguro de retiro,2016-11-01,
025,Indemnizaciones,2016-11-01,
026,Reembolso por funeral,2016-11-01,
027,Cuotas de seguridad social pagadas por el patrón,2016-11-01,
028,Comisiones,2016-11-01,
029,Vales de despensa,2016-11-01,
030,Vales de restaurante,2016-11-01,
031,Vales de gasolina,2016-11-01,
032,Vales de ropa,2016-11-01,
033,Ayuda para renta,2016-11-01,
034,Ayuda para artículos escolares,2016-11-01,
035,Ayuda para anteojos,2016-11-01,
036,Ayuda para transporte,2016-11-01,
037,Ayuda para gastos de funeral,2016-11-01,
038,Otros ingresos por salarios,2016-11-01,
039,"Jubilaciones, pensiones o haberes de retiro",2016-11-01,
044,"Jubilaciones, pensiones o haberes de retiro en parcialidades",2016-11-01,
045,Ingresos en acciones o títulos valor que representan bienes,2016-11-01,
046,Ingresos asimilados a salarios,2016-11-01,
047,Alimentación,2016-11-01,
048,Habitación,2016-11-01,
049,Premios por asistencia,2016-11-01,
050,Viáticos,2017-01-06,
